image_ref	kind	architecture	build_date	verified_date	processes	direct_software	inventory
quay.io/asuq1617/nf-sra_screen_taxa:0.4.0@sha256:6366a34b26b324e1de543b26bb9d91799433ccddea254e0e8e29c32ca964ba44	custom	linux/amd64	2026-08-06	2026-08-07	VALIDATE_TAXA;EXTRACT_TAXA	python-taxa=3.12;biopython-taxa=1.88;numpy-taxa=2.5.1;openpyxl-taxa=3.1.5;pandas-taxa=3.0.5;pyyaml-taxa=6.0.3;ujson-taxa=5.13.0	docker/provenance/0.4.0/packages/nf-sra_screen_taxa-0.4.0.txt
quay.io/asuq1617/iseq:1.9.8-sratools3.4.1-r1@sha256:59e96013353dbecddf483aac16591c591b429219b7857a9b277c3bfcb1060ed1	custom	linux/amd64	2026-08-06	2026-08-07	DOWNLOAD_SRA_METADATA;RESOLVE_SRR_METADATA;DOWNLOAD_SRR	iseq=1.9.8;sra-toolkit=3.4.1;aria2=1.37.0;pigz=2.8;pbzip2=1.1.13	docker/provenance/0.4.0/packages/iseq-1.9.8-sratools3.4.1-r1.txt
quay.io/biocontainers/singlem:0.21.3--pyhdfd78af_0@sha256:c01b406761e9453ad1a779a01270d60105b8c9e66691790a611ac0dd7a5fbc8a	third-party	linux/amd64	-	2026-08-07	SANDPIPER;SINGLEM	singlem=0.21.3	-
quay.io/biocontainers/fastp:1.3.6--h43da1c4_0@sha256:cbbe2402b6b6704df470d7d77dcb498eefd5bcd01f4c38be0ec69899e79ac134	third-party	linux/amd64	-	2026-08-07	FASTP_SHORT	fastp=1.3.6	-
quay.io/biocontainers/spades:4.3.0--hde4eca7_1@sha256:db9b8323afbae620801fcd79798af88afa1925f42ef54195ae3622ca0cf7dbcf	third-party	linux/amd64	-	2026-08-07	METASPADES	spades=4.3.0	-
quay.io/asuq1617/nf-sra_screen_unicycler:0.4.0-spades4.3.0@sha256:8b102ba4eb033f9efa7eeff7dc2a0d8aae6027ee6874a8efd20ccd77ce063717	custom	linux/amd64	2026-08-06	2026-08-07	UNICYCLER	unicycler=0.5.1;spades=4.3.0;python-unicycler=3.10	docker/provenance/0.4.0/packages/nf-sra_screen_unicycler-0.4.0-spades4.3.0.txt
quay.io/biocontainers/flye:2.9.6--py313h7fbb527_1@sha256:2a75bea2cb11b7b05fbaefe0cbeb5227fa6e8606a86bd07c9e313c187411e5ad	third-party	linux/amd64	-	2026-08-07	METAFLYE_NANO;METAFLYE_PACBIO;METAFLYE_HIFI	flye=2.9.6	-
quay.io/biocontainers/myloasm:0.6.0--hdcadc20_0@sha256:64cb3cf0d62660990eaf221e9bbffbf9f1ce56417b1573e385f6b4e8895459cf	third-party	linux/amd64	-	2026-08-07	MYLOASM	myloasm=0.6.0	-
quay.io/asuq1617/nf-sra_screen_mapping:0.4.0@sha256:c7b08a1057c79e1fa3f3628531ef661c683b4638cd43d6955523b7d4b1b8f0ff	custom	linux/amd64	2026-08-06	2026-08-07	MAP_TO_ASSEMBLY	bowtie2=2.5.5;minimap2=2.31;samtools-mapping=1.24	docker/provenance/0.4.0/packages/nf-sra_screen_mapping-0.4.0.txt
quay.io/biocontainers/diamond:2.2.5--he361c42_0@sha256:6e676f97d70507a1f536284c88fc4f07e2e70f21c60321966bc0e6a4e990c4f9	third-party	linux/amd64	-	2026-08-07	DIAMOND	diamond=2.2.5	-
docker.io/genomehubs/blobtoolkit:4.5.0@sha256:8cf4b10ebf255d8cc9eb8076c93377450f69d370e07915f7b9d4f23348d0b7ef	third-party	linux/amd64	-	2026-08-07	BLOBTOOLS	blobtoolkit=4.5.0	-
quay.io/biocontainers/metabat2:2.18--h38e344b_2@sha256:76728c892cfb5f1e8a8704f271ade1664109e37494d9eba3fb27467b7730a9f2	third-party	linux/amd64	-	2026-08-07	METABAT	metabat2=2.18	-
quay.io/biocontainers/comebin:1.0.4--hdfd78af_1@sha256:9d52030e275700b03f469235883c43041d1d9a6a4585a8f777072d8268b9b1d2	third-party	linux/amd64	-	2026-08-07	COMEBIN	comebin=1.0.4	-
quay.io/asuq1617/comebin:1.0.4-cuda117-r1@sha256:114a1eb3804e5636b4af07262c078138963b1a2f2ce9a5be73f367dd420b45d6	custom	linux/amd64	2026-08-06	2026-08-07	COMEBIN_GPU	comebin=1.0.4;python-comebin=3.7;pytorch-comebin-gpu=1.13.1;cuda-comebin=11.7	docker/provenance/0.4.0/packages/comebin-1.0.4-cuda117-r1.txt
quay.io/biocontainers/vamb:5.0.4--pyhdfd78af_0@sha256:6ac01f01372a7519ed51cd6cfa38a726418221e97ced61945663d99421e5fb8b	third-party	linux/amd64	-	2026-08-07	VAMB	vamb=5.0.4	-
